"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","982489254.44415","1137500000","1257712234.04255","1280851063.82979","1335638563.82979","1082446808.51064","984574734.042553","1193882978.7234","1391755319.14894","1537500265.95745","1624468085.10638","2707180851.06383","2807180851.06383","2926595744.68085","2902925531.91489","3101861702.12766","3273404255.31915","3396808510.6383","3530585106.38298","3665957446.80851","4047845744.68085","4203989361.70213","4326648936.17021","4752606382.97872","6255345744.68085","6344920212.76596","6426170212.76596","6869521276.59575","8866808510.6383","9383936170.21277","10589680851.0638","11245611702.1277","11686276595.7447","13266489361.7021","13520851063.8298","14128324468.0851","14490851063.8298","14883909574.4681","14906914893.617","","",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","396800000","483500000","751000000","823900000","888900000","932200000","994300000","1335600000","1458599900","1570700000","1727700000","","1914520000","1989060000","2051090000","2008330000","2061840000","2131060000","2333910000","2513240000","3758600000","4136400000","4457700000","4627100000","5035700000","5040100000","5136400000","5295900000","5845600000","6256100000","6415100000","6447700000","6048200000","6227300000","6341300000","6814620000","6708200000","7144800000","7320900000","7363900000","8043400000","8344600000","8097100000","",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9612135238.09524","10608362688.3703","11699687640.3053","13688788663.401","16414329688.4362","15005780240.0739","14556124466.7163","15713368398.6069","14811045197.7401","15435844138.2119","15633673178.6732","13223935355.8265","13459654431.3104","14089664054.3967","15351449607.7248","15233560757.8273","",
"Belarus","BLR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10250000000","8000000000","8703703703.7037","9157024793.38843","8867908694.19268","8256105701.7241","8854769230.76923","8061662301.64844","8805432708.9837","7118405904.65112","7248621108.14196","7119388489.20863","8682300390.8431","10185080448.5617","12434629629.6296","15704271123.4912","19022424242.4242","23458713886.3001","31571020599.2509","28596025778.7325","31841490433.0312","30079457286.4322","31562756387.1896","38712894144.1441","41635133020.3443","29851764410.3981","26013520305.5891","29801894115.8205","32148704358.0683","34733961181.7573","",
"Belize","BLZ","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","96477473.2877215","103104265.954343","100010628.371412","97387898.634102","93474635.1383855","100973889.856719","96919896.6568975","118738517.366038","139090163.422333","163778994.471838","168639881.749501","193550000","369819850","382225200","412107650","445689650","478491350","497221450","533573200","567240650","616476100","681513200","732646100","768918900","795868450","801804250","806752950","855375450","891922500","940267000","969030750","1031566300","1061314300","1119782550","1157248150","1204326200","1302903400","1277709250","1280894200","1286651400","",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3172347000","3124118000","3110046000","3135554000","3142675000","3237728000","3368443000","3512954000","3523674000","3574216000","",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","314112088.682616","351758793.969849","376967895.958196","401592681.013039","421125561.361625","463804713.804714","517676767.676768","592087542.087542","649158249.158249","698653198.653199","749410774.410774","830808080.808081","913125235.050771","888355822.088956","1418290854.57271","1750024987.50625","1972013993.0035","2323288355.82209","2635682158.92054","2976577318.37497","3058727569.33116","4159869494.29038","4073561338.31317","3984803350.17053","4268298516.22017","3966672651.12072","3222021790.25578","3466536730.17495","3632303083.94036","3637436099.38774","3741315934.62878","4158872256.04647","4483762594.53916","4551692105.69506","4641154420.51726","5091380747.03664","5557197611.63441","5921505243.32452","6378122538.61091","6365979973.84901","6413108433.73494","6129841983.38101","5835733193.86332","5739542119.28139","5957809475.80645","6332707504.24617","7188894478.00689","8295273970.85796","10375397399.942","11358006695.1567","12241421058.0161","14546600749.2154","16116291377.8459","18452846550.2048","20766959304.2528","22578642598.8019","23388629610.2757","25376260924.9605","26996904866.3629","27990672551.2061","",
"Brazil","BRA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10051138972.4315","9760602842.81603","13956529618.205","15638607058.8764","14631217231.9027","14582684401.451","18436142915.7175","21886420484.8801","23902617597.0186","25009958476.5274","29017107274.6442","34238487325.4386","40778949205.9812","53545412119.2523","74371827324.778","82255120099.1262","104981221085.954","121841260949.32","137669580413.724","156458585051.017","163832188816.919","179159690538.868","195953143014.789","144841725771.584","147051346356.667","146645678332.018","181718682647.463","183109918561.605","196566284389.508","230373609375","273960000000","371170000000","246445625000","263039872670.807","341439073987.173","490097064291.163","554115745995.423","576814404730.983","554012068418.785","387685249462.721","423353893468.161","358600747470.453","314420830427.514","345291003249.919","402972647931.624","539474167351.298","669432054429.274","836503522161.163","1012929455774.89","1032826443433.03","1330244429286.04","1576886059301.77","1513918386155.34","1526098975001.16","1546283042923.93","1152782470167.42","1153763927476.87","1330168264711.41","1219984471782.8","1194669915274.43","",
"Barbados","BRB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","298469382.703827","322436869.947101","347468606.737094","388898225.028588","479938348.331925","537562770.347536","614179883.657336","627952070.79998","656838860.438522","711977328.096256","694575647.59111","869189081.68846","968229503.306319","951325013.672749","1043156167.65276","1401034157.01288","1454233580.27147","1432900000","1490627952.0708","1514890866.60369","1680157112.31542","1745637150.10192","1888629244.76707","2048128076.36852","2192711181.8227","2276950000","2328650000","2299650000","2147500000","2470650000","2808500000","2901646050","3351080300","3615130600","3140800400","3522718700","3642588050","3561557800","3696621900","3703119050","3616222550","3658986450","3841177250","3995055950","4081664150","",
"Brunei Darussalam","BRN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","77967910.0496532","128621431.282419","145297069.774972","171763548.413544","211521547.933157","297525981.789754","343732486.456193","407535381.265679","427102803.738318","436346426.881212","","","","","","795262267.343486","932413793.103448","992706645.056726","1293431553.10006","1582497833.89033","1587010606.259","1734866657.25977","1978014184.39716","2042025862.06897","1631214149.13958","1587020648.96755","1490119547.56381","1475665680.6385","1495955154.69675","1791419756.62955","2091100698.14223","2140854361.93223","2272263830.32287","2469643686.55033","2545865086.08524","2614464457.58284","2016868353.50202","2366642817.39407","2621638924.45583","2761349104.85933","2667719021.31018","2558356753.21842","2411280750.0181","2483297994.06184","2651269552.96909","2754682084.73831","",
