"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","89200000","94400000","146200000","244200000","268800000","338800000","352300000","333700000","444900000","455500000","510100000","","964520000","931270000","913340000","866210000","721660000","842800000","948290000","1100520000","1841400000","2194300000","2209300000","2437900000","2235300000","2150000000","2153100000","2100000000","2688900000","3407700000","3239700000","3100500000","2800300000","2825400000","3039600000","3360030000","3062500000","3505500000","2916400000","3087000000","3405000000","3268700000","3519900000","",
"Bosnia and Herzegovina","BIH","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373000000","1148237971.8235","1542162908.71345","1564345797.57913","1312004302.83224","1131550164.86105","1096760248.9019","1234459095.28393","1577287016.73399","2820538412.69841","3053569021.42812","2783379513.82208","4067834849.54514","5293911773.51708","3592871652.81625","2894333310.76048","3571755632.95188","3363276836.15819","3339388364.67314","3594446479.44648","3084690671.95917","3401266896.66874","3961565633.28339","4360546167.77308","4357609180.9284","",
"Belarus","BLR","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5740000000","6000000000","5370370370.37037","6677685950.41322","4917757636.79087","3458209607.99208","3470692307.69231","3791634570.94438","4066098681.92855","2877642953.12782","3234992623.92387","2935611510.79137","3236544946.95701","4448805460.75085","6634861111.11111","8597214484.67966","11893426573.4266","15435927306.617","22872378277.1536","18754242749.7315","23264585431.3528","22984763819.0955","23051709247.9309","29303367117.1171","27459555946.7919","16391460504.8349","12635806192.1994","15340061067.1221","16856105221.8296","18280093699.2064","",
"Belize","BLZ","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","46148810.0157257","49226883.595728","35123491.3783731","37577555.2844133","49826574.7016168","46065331.223875","46633691.9362679","58974177.699716","77017604.3020205","109154346.489561","102635983.701122","122050000","135177550","158765100","119378900","134615800","130559350","132000200","131363000","180176700","263826600","216130050","222249250","202959050","206836950","233087450","235064950","253056650","350269950","255031450","213672050","226443250","228158150","280748150","298667400","355193500","380290200","343315600","354772100","356366700","",
"Bermuda","BMU","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","865343000","794297000","702521000","704322000","775746000","791397000","883410000","983043000","968986000","1110091000","",
"Bolivia","BOL","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","166666666.666667","184427609.427609","253253102.670177","257871064.467766","306246876.561719","553623188.405797","524137931.034483","618290854.572714","928085957.021489","921027480.848686","774877650.897227","938009787.928222","874020823.546121","716660190.821569","1213682790.64131","1046651470.69852","536849362.109513","587323648.928146","642782439.240248","546466890.566486","610002363.954423","832363011.785734","942775028.842456","949878783.615859","859576452.764852","1023668520.71746","1201061758.56225","1555965780.40843","2005974120.2519","1555262198.05932","1523673485.88987","1161670072.19725","1288172942.81729","1069464434.92793","966983744.959677","1361089374.04694","1587839507.71381","1992516940.08559","2926800906.29015","2942815384.61538","3341816422.63088","4748407451.29111","4786641077.50525","5830709329.55688","6940351211.38696","6692861570.57572","7147105759.49828","8334527688.78819","8297786011.61544","8127949873.4325","",
"Brazil","BRA","Gross capital formation (current US$)","NE.GDI.TOTL.CD","2984287125.54907","3254003977.98811","3906482215.26138","4433909873.4278","3945920611.76361","4363220210.12389","5383556739.78939","5175745046.02096","6408490804.50458","8372887332.97774","8694949202.08942","10390955066.7027","12393184513.7359","18427695392.8517","26692655164.1699","33202202646.7511","35293372834.9106","38879499001.1146","46130434386.0675","51213073778.9867","54869959137.338","60840759336.8964","59417401686.2414","33915348956.0437","32901534612.3669","42806695570.1552","51195732297.9863","65594463167.8794","75061422882.2044","114497000000","93160000000","119180000000","75851875000","91265062111.8012","128329422806.194","133030951836.112","146842676151.627","156891454359.926","156893214993.537","104231035212.432","123894946324.132","104836770512.712","88634778225.1186","94114249333.7667","119891803076.923","153403933043.05","197342443065.324","276892701402.085","366626805158.687","313335289836.951","481563210550.25","571019249163.08","527975014080.18","536444970084.875","504667658308.542","313795124590.46","268808180333.973","301800150404.211","279605207893.152","278042052757.003","",
"Barbados","BRB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","77327360.0316816","117732807.665436","118871835.758421","126525132.998558","157758663.550937","210958086.809526","261025207.577189","223984487.644807","209466514.194799","185949385.969274","184855566.051807","210659772.286581","232038979.764332","270123800.527022","326306369.015065","300402724.605976","270322676.875653","137600000","197782528.712773","238303584.746184","268184756.127878","286282503.853229","385124049.122458","532889176.154726","575995624.72033","554000000","477300000","540600000","586200000","662600000","722600000","897050000","886899200","875483700","757038750","719367550","794384250","745924400","772805500","776494850","797933650","791860200","778175600","727009650","817365850","",
"Brunei Darussalam","BRN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554786443.111316","657655172.413793","763486918.268118","972989564.149785","1217353632.87536","1171271441.66558","1735572174.40384","2113475177.30496","1844692887.93103","1369502868.06883","983480825.958702","783625754.060325","808236981.637551","1242275661.78934","987236712.202962","1061697373.09194","1083406392.69406","1197243375.92045","1590339061.77427","1967259384.70223","1884229341.3997","3247524752.47525","4820732967.64449","6263604353.39309","7163523017.90281","4692186266.7719","4557422357.98967","3946936364.29451","4221152291.98349","5571545926.31033","5209670209.64668","",
"Bhutan","BTN","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","40580394.4020356","46984318.7066975","52394735.7293869","63775297.029703","63391883.8028169","74988302.3443816","83892529.7383029","93300293.2098765","109080459.770115","89488601.3555145","91096516.2764135","77528583.9929639","114320987.654321","102236798.950476","138903410.902136","137517730.496454","133793395.427604","119815477.829799","131078526.417838","162661402.693915","213690629.728527","288753863.10659","323539461.016252","366593102.189781","442939560.900265","426211625.85034","417740514.710751","350893282.706749","540043489.054182","578468266.904657","978269392.771696","1231384921.95284","1238478812.51263","826525444.641266","1012845754.9218","1111221586.57811","1230748510.68453","1272951028.53738","1164419976.75082","960467223.229665","",
